index	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
33854	Dactylis glomerata	2360729	33	Seed (seedbank) longevity	Seedbank longevity index	0.5	year
33926	Dactylis glomerata	2360737	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
34068	Dactylis glomerata	2360753	159	Seedbank type	Seedbank type	transient	
34178	Dactylis glomerata	2360765	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
34393	Dactylis glomerata	2360789	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
34535	Dactylis glomerata	2360805	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
34562	Dactylis glomerata	2360808	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
34587	Dactylis glomerata	2360811	159	Seedbank type	Seedbank type	transient	
34891	Achillea millefolium	2462198	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.177144	g/g
34890	Achillea millefolium	2462198	3106	Plant height vegetative	Plant height vegetative	0.1265	m
34934	Dactylis glomerata	2462238	3106	Plant height vegetative	Plant height vegetative	0.303	m
34999	Trifolium pratense	2462341	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	444.9	mg/g
35022	Trifolium pratense	2462343	3106	Plant height vegetative	Plant height vegetative	0.12875	m
35263	Trifolium pratense	2469584	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	455.33	mg/g
35720	Achillea millefolium	2470472	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.18451	g/g
35765	Achillea millefolium	2474743	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Shoot dry mass per plant	0.265140654496188	g
